id,neighbourhood_cleansed,accommodates,bathrooms,bedrooms,beds,daily_price,number_of_reviews,review_scores_rating,review_scores_location,TV,WiFi,Air_Condition,Wheelchair_accessible,Kitchen,Breakfast,Elevator,Heating,Washer,Iron,Luggage_dropoff_allowed,Pets_allowed,Smoking_allowed
5813037,1,2,3,1,1,100,243,97,10,1,1,1,0,1,0,1,1,1,1,0,0,0
5916844,1,2,3,0,1,50,313,98,10,1,1,1,0,1,0,1,1,1,1,0,0,0
5922909,1,2,3,1,1,90,286,96,10,1,1,1,0,1,0,1,1,1,1,1,0,0
5938979,1,2,3,1,1,99,280,98,10,1,1,1,0,0,0,1,1,0,1,1,1,0
6070234,1,2,3,1,1,49,20,98,10,1,1,1,0,0,0,1,1,1,1,1,0,0
6075297,1,4,3,1,2,100,129,94,10,1,1,1,1,1,0,1,1,1,0,0,0,0
6087846,1,5,3,1,2,80,27,93,10,1,0,1,0,1,0,1,1,1,1,1,1,0
6151633,1,4,3,1,4,50,8,93,10,1,0,1,0,1,0,1,1,0,1,0,1,0
6207418,1,2,3,0,1,70,78,95,10,1,1,1,0,1,0,1,1,0,1,0,0,0
6265351,1,4,3,1,2,95,375,95,10,1,1,1,0,1,0,1,1,1,0,0,0,0
6271080,1,4,3,1,2,86,508,91,10,1,1,1,0,0,0,0,1,1,0,1,1,0
6311306,1,5,3,1,3,93,23,95,10,1,1,1,0,1,0,1,1,1,1,1,0,0
6370594,1,2,3,0,2,60,9,96,10,1,1,0,0,1,0,1,1,1,1,0,0,0
6395947,1,5,5,2,3,90,144,87,10,0,1,1,0,1,0,1,1,1,1,0,0,0
6409584,1,2,3,1,1,55,12,85,10,1,1,1,0,1,0,1,1,0,0,0,0,0
6423852,1,2,3,0,1,89,19,89,10,1,1,1,0,1,1,1,1,0,1,1,1,0
6521744,1,2,3,1,1,50,4,95,10,1,1,1,0,1,0,1,1,1,1,0,0,0
6564611,1,4,3,2,3,88,355,96,10,1,1,1,0,1,1,1,1,1,1,1,0,1
6632351,1,2,3,1,1,75,78,94,10,1,1,0,0,1,0,1,1,1,1,0,0,0
6710718,1,2,3,0,1,69,150,92,10,0,1,1,0,0,0,1,1,1,1,0,0,0
6769860,1,4,3,1,4,95,72,92,10,1,1,1,0,1,0,0,1,1,1,0,0,0
6807465,1,4,3,1,2,100,105,95,10,1,1,1,0,1,0,1,1,0,1,0,0,0
6816646,1,4,3,1,2,93,74,96,10,1,1,0,0,1,0,1,1,1,1,1,0,0
6851636,1,4,3,1,3,85,140,91,10,1,1,1,1,1,0,1,1,1,1,1,0,0
6904407,1,2,3,1,2,80,181,94,10,1,1,1,0,1,0,1,1,1,1,1,0,0
