id,neighbourhood_cleansed,accommodates,bathrooms,bedrooms,beds,daily_price,number_of_reviews,review_scores_rating,review_scores_location,TV,WiFi,Air_Condition,Wheelchair_accessible,Kitchen,Breakfast,Elevator,Heating,Washer,Iron,Luggage_dropoff_allowed,Pets_allowed,Smoking_allowed
786494,1,4,3,2,2,81,120,94,10,1,1,0,0,1,0,1,1,1,1,1,0,0
812419,1,1,3,1,1,80,42,97,10,1,0,1,1,1,1,1,1,1,1,0,0,0
815097,1,2,3,1,0,105,168,98,10,1,1,1,0,1,0,0,1,1,1,0,0,0
849862,1,2,3,1,1,120,4,90,10,1,1,1,0,1,0,1,1,1,0,0,0,1
868679,1,4,5,1,2,204,29,92,10,1,1,1,0,1,0,1,1,1,1,0,1,0
874880,1,6,5,2,2,240,160,97,10,1,1,1,0,1,0,1,1,1,1,0,0,0
892048,1,4,3,1,1,79,11,100,10,1,1,0,0,1,0,0,1,1,1,0,0,1
922867,1,2,3,0,1,59,161,96,10,1,1,1,1,1,0,1,1,1,1,1,0,0
935594,1,2,3,1,1,130,30,93,10,1,1,1,0,1,0,1,1,0,0,0,0,0
950479,1,4,3,2,3,194,9,89,9,1,1,1,0,1,0,1,1,1,1,0,0,0
976705,1,5,5,3,5,170,6,100,10,1,1,0,1,1,0,1,1,1,1,0,0,0
978065,1,4,5,2,3,95,52,96,9,1,1,1,1,1,0,1,1,1,1,1,1,0
979042,1,4,3,1,2,211,3,87,10,1,1,1,0,1,0,1,1,1,1,0,0,0
982808,1,3,3,1,1,95,416,99,10,1,1,1,0,1,0,0,1,1,1,0,0,0
996428,1,2,5,1,1,200,2,100,10,1,0,1,0,1,0,1,1,1,1,1,0,0
1010314,1,4,3,2,1,550,125,89,10,0,1,0,0,1,0,0,1,1,1,0,0,0
1030247,1,2,3,1,1,130,55,97,10,0,1,1,0,1,1,1,1,0,0,1,0,0
1048597,1,2,3,1,1,105,8,97,10,0,1,1,0,1,1,1,1,1,0,0,1,0
1058053,1,6,4,2,2,200,202,95,10,1,1,1,0,1,0,0,1,1,1,1,0,0
1061453,1,4,3,2,2,140,108,90,10,1,1,1,0,1,0,0,1,1,1,0,1,0
1106842,1,2,3,1,2,130,10,94,10,1,1,1,1,1,1,1,1,1,1,0,0,0
1111330,1,4,3,1,2,190,1,100,10,1,1,1,0,1,0,1,1,1,1,0,0,0
1113663,1,2,3,1,1,203,2,100,9,1,1,1,0,1,0,1,1,1,1,0,0,0
1119298,1,2,3,0,1,150,1,60,6,1,1,1,0,1,0,1,1,1,1,0,0,0
1217287,1,4,3,1,2,160,10,92,10,1,1,1,0,1,0,0,1,1,1,1,1,0
1258803,1,4,3,1,0,97,220,98,10,1,1,1,1,1,0,1,1,1,1,0,0,0
1261284,1,3,3,1,2,150,3,100,10,0,1,0,0,1,0,1,1,1,0,0,0,0
1340338,1,5,5,3,3,260,5,85,9,1,0,0,0,1,0,1,1,1,1,0,0,0
1375952,1,2,3,1,2,90,4,90,10,1,1,0,1,1,1,1,1,1,1,0,0,0
1421956,1,4,3,2,3,153,13,89,9,0,1,1,0,1,0,1,1,1,1,0,0,0
1448128,1,3,5,2,3,150,3,100,10,0,1,1,0,1,0,1,1,1,1,0,0,0
1453656,1,6,6,2,4,145,127,91,10,1,1,1,0,1,0,1,1,1,1,1,1,0
1458370,1,8,8,2,6,225,46,92,9,1,1,1,0,1,0,1,1,1,1,0,1,0
1482235,1,3,3,1,2,78,645,93,10,1,1,1,0,1,1,1,1,1,1,0,1,1
1572470,1,4,3,1,2,69,212,80,9,1,1,1,1,1,0,1,1,1,1,0,0,0
1590932,1,4,3,1,2,125,256,97,10,1,1,1,0,1,0,1,1,0,1,0,0,0
1605816,1,4,3,1,2,99,206,96,10,1,1,1,0,1,0,0,1,0,1,1,1,0
1641307,1,2,3,1,1,60,30,91,10,1,1,0,0,1,0,0,1,1,1,0,1,0
1642286,1,2,3,1,2,53,146,95,10,0,1,1,0,1,0,1,1,1,1,1,0,0
1658199,1,2,3,1,1,110,48,92,10,1,1,0,0,1,0,1,1,1,1,0,0,0
1668132,1,3,3,1,3,140,84,94,10,1,1,1,0,1,0,1,1,1,0,0,1,0
1739580,1,6,5,3,6,130,34,99,10,0,1,1,0,1,0,1,1,1,1,1,0,0
1765953,1,6,3,3,6,265,57,85,10,0,1,0,0,1,0,1,1,1,0,0,0,0
1801571,1,2,3,1,2,120,19,99,10,1,1,1,0,1,0,1,1,1,1,1,0,0
