neighbourhood_cleansed,accommodates,bathrooms,bedrooms,beds,daily_price,number_of_reviews,review_scores_rating,review_scores_location,TV,WiFi,Air_Condition,Wheelchair_accessible,Kitchen,Breakfast,Elevator,Heating,Washer,Iron,Luggage_dropoff_allowed,Pets_allowed,Smoking_allowed
1,2,3,0,1,80,1,100,10,1,0,1,0,1,0,1,1,0,1,0,0,0
1,4,3,1,1,75,34,88,10,1,1,0,0,1,0,0,1,1,1,0,0,0
1,5,5,2,3,100,9,91,10,0,1,0,0,1,0,1,1,1,1,0,1,0
1,2,3,1,1,80,12,90,10,1,1,0,0,1,0,1,1,0,1,0,1,0
1,2,3,0,1,100,15,100,10,1,1,0,0,1,0,1,1,0,1,0,0,0
1,3,3,0,1,60,17,91,10,1,0,0,0,1,0,0,1,1,1,0,1,1
1,3,3,1,2,52,13,88,10,1,1,1,0,1,0,0,1,0,1,0,0,0
1,4,3,1,2,80,12,98,10,1,1,1,0,1,0,0,1,0,1,0,0,0
1,2,3,1,1,60,9,98,10,1,1,0,0,1,0,0,1,1,1,0,0,0
1,2,3,1,1,64,6,93,10,0,1,0,0,1,0,1,1,1,1,0,0,0
1,2,3,0,1,59,4,90,10,1,1,0,0,1,0,0,1,1,1,0,0,0
1,2,3,1,1,55,19,92,10,0,1,1,0,1,0,0,1,1,1,0,0,0
1,5,3,2,3,99,3,87,10,1,1,1,0,1,0,0,1,0,1,0,0,0
1,2,3,0,1,60,3,93,10,1,1,0,0,1,0,0,1,1,1,0,1,0
2,2,3,1,1,76,693,98,10,1,1,0,0,1,0,0,1,1,1,0,0,0
2,2,3,1,0,69,5,85,10,1,0,1,0,1,0,0,1,1,1,0,1,0
2,2,3,1,2,30,13,94,10,0,1,0,0,1,0,0,1,1,1,0,0,1
2,5,5,2,2,64,115,98,10,1,1,0,0,1,0,0,1,1,1,0,1,0
2,3,3,1,2,44,138,91,10,0,1,0,0,1,0,1,1,1,1,0,0,0
2,3,3,1,3,72,11,95,10,1,1,0,0,1,0,0,1,1,1,0,1,0
2,4,3,2,2,66,3,100,10,0,1,0,0,1,0,0,1,1,1,1,0,0
2,2,3,1,1,32,41,100,10,1,1,0,0,1,0,0,1,1,1,0,0,0
2,5,3,2,4,43,12,93,10,1,0,0,0,1,1,0,1,1,1,0,1,0
2,3,3,0,3,75,88,97,10,0,1,1,0,1,0,1,1,0,1,0,0,0
2,4,3,1,2,100,7,97,10,0,1,0,0,1,0,1,1,1,1,0,0,0
2,2,3,1,1,90,3,100,10,1,0,1,0,1,0,0,1,1,1,0,1,0
2,2,3,1,1,70,5,100,10,0,1,0,0,1,0,1,1,1,1,0,0,0
2,4,3,1,2,75,3,93,10,1,1,0,0,1,0,0,1,1,1,0,1,0
2,3,3,1,2,59,28,90,10,1,1,0,0,1,0,1,1,0,1,0,0,0
2,3,3,1,2,70,13,98,10,1,1,0,0,1,0,0,1,1,1,0,0,0
2,2,3,1,1,45,13,98,10,1,1,0,0,1,0,0,1,1,1,0,0,0
2,2,3,1,1,73,74,94,10,1,1,1,0,1,0,0,1,0,1,0,1,0
2,4,3,1,2,73,67,91,10,1,1,1,0,1,0,0,1,0,1,0,1,0
2,2,3,1,1,60,31,90,10,0,1,1,0,1,0,0,1,1,1,0,0,0
2,2,3,1,1,41,27,96,10,0,1,1,0,1,0,0,1,1,1,0,0,0
2,2,3,1,1,45,2,90,10,1,1,0,0,1,0,0,1,1,1,0,0,0
2,2,3,1,2,40,1,100,10,0,0,1,0,1,0,1,1,1,1,0,1,0
2,4,3,0,2,54,7,91,10,0,1,1,0,1,0,0,1,1,1,0,0,0
